2026-05-03 08:58:37 AUDIT | timestamp=2026-05-03T03:28:37.946294100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:37 AUDIT | timestamp=2026-05-03T03:28:37.983140100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:38 AUDIT | timestamp=2026-05-03T03:28:38.242396700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:38 AUDIT | timestamp=2026-05-03T03:28:38.961723300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:38 AUDIT | timestamp=2026-05-03T03:28:38.996208300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:39 AUDIT | timestamp=2026-05-03T03:28:39.268694Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:39 AUDIT | timestamp=2026-05-03T03:28:39.988217200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:40 AUDIT | timestamp=2026-05-03T03:28:40.025437500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:40 AUDIT | timestamp=2026-05-03T03:28:40.296687600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:41 AUDIT | timestamp=2026-05-03T03:28:41.026561500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:41 AUDIT | timestamp=2026-05-03T03:28:41.053052700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:41 AUDIT | timestamp=2026-05-03T03:28:41.320382800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:42 AUDIT | timestamp=2026-05-03T03:28:42.043582100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:42 AUDIT | timestamp=2026-05-03T03:28:42.070879500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:42 AUDIT | timestamp=2026-05-03T03:28:42.342277Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:44 AUDIT | timestamp=2026-05-03T03:28:44.408875Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:45 AUDIT | timestamp=2026-05-03T03:28:45.085010900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:47 AUDIT | timestamp=2026-05-03T03:28:47.443808300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:48 AUDIT | timestamp=2026-05-03T03:28:48.110271Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:48 AUDIT | timestamp=2026-05-03T03:28:48.126362400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:48 AUDIT | timestamp=2026-05-03T03:28:48.376097200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:50 AUDIT | timestamp=2026-05-03T03:28:50.482036300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:51 AUDIT | timestamp=2026-05-03T03:28:51.161136800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-05-03 08:58:53 AUDIT | timestamp=2026-05-03T03:28:53.527153600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
